qname	overallTime	overallTime	cardinality
C1	0.816064119339	0.816064119339	26
C2	1.90655589104	1.90655589104	1614
C3	0.304941892624	0.304941892624	167
C4	33.0494849682	33.0494849682	880
C5	0.40168595314	0.40168595314	14600
C6	0.0185608863831	0.0185608863831	12
C7	2.34457612038	2.34457612038	66
C8	0.63027715683	0.63027715683	26
C9	299.716996908	299.716996908	0
C10	0.0214509963989	0.0214509963989	2
CD1	0.975058794022	0.975058794022	90
CD2	0.0611491203308	0.0611491203308	1
CD3	1.73686099052	1.73686099052	2
CD4	0.194495916367	0.194495916367	1
CD5	0.231915950775	0.231915950775	2
CD6	1.20348620415	1.20348620415	11
CD7	0.757071971893	0.757071971893	0
LD1	0.685961008072	0.685961008072	308
LD2	0.0186879634857	0.0186879634857	185
LD3	0.0235221385956	0.0235221385956	159
LD4	0.0259339809418	0.0259339809418	50
LD5	0.411571025848	0.411571025848	28
LD6	0.312680006027	0.312680006027	39
LD7	0.402532100677	0.402532100677	1216
LD8	0.941262960434	0.941262960434	22
LD9	0.0560510158539	0.0560510158539	0
LD10	0.0413298606873	0.0413298606873	3
LD11	1.7161860466	1.7161860466	376
LS1	0.138696908951	0.138696908951	1159
LS2	0.150442123413	0.150442123413	333
LS3	1.11959195137	1.11959195137	9054
LS4	0.526035785675	0.526035785675	3
LS5	0.493299007416	0.493299007416	393
LS6	0.191316127777	0.191316127777	28
LS7	0.270796060562	0.270796060562	1619
